WMO_ID,Latitude,Longitude,Elevation,File
032300-99999,55.283,-2.283,212,03230099999.csv
032380-99999,55.017,-1.867,146,03238099999.csv
032400-99999,55.424,-1.603,21.3,03240099999.csv
032433-99999,55.038,-1.692,81.1,03243399999.csv
032450-99999,54.967,-1.617,50,03245099999.csv
032570-99999,54.292,-1.535,40.2,03257099999.csv
032620-99999,55.017,-1.417,30,03262099999.csv
032635-99999,54.509,-1.429,36.6,03263599999.csv
032643-99999,54.206,-1.382,28,03264399999.csv
032660-99999,54.049,-1.253,16.2,03266099999.csv
032750-99999,54.567,-0.867,159,03275099999.csv
032810-99999,54.367,-0.667,262,03281099999.csv
032920-99999,54.1,-0.167,19,03292099999.csv
033010-99999,53.267,-4.367,62,03301099999.csv
033020-99999,53.248,-4.535,11.3,03302099999.csv
033050-99999,53.1,-3.933,215,03305099999.csv
033130-99999,53.25,-3.5,76,03313099999.csv
033160-99999,53.5,-3.067,9,03316099999.csv
033180-99999,53.772,-3.029,10.4,03318099999.csv
033210-99999,53.178,-2.978,13.7,03321099999.csv
033220-99999,53.55,-2.917,56,03322099999.csv
033230-99999,53.333,-2.85,26,03323099999.csv
033300-99999,53.133,-1.983,299,03330099999.csv
033340-99999,53.354,-2.275,78.3,03334099999.csv
033380-99999,53.033,-2.083,228,03338099999.csv
033440-99999,53.817,-1.867,267,03344099999.csv
033460-99999,53.6,-1.667,267,03346099999.csv
033463-99999,53.866,-1.661,207.6,03346399999.csv
033540-99999,53,-1.25,117,03354099999.csv
033550-99999,53.834,-1.196,8.8,03355099999.csv
033600-99999,53.483,-1,17,03360099999.csv
033723-99999,52.962,-0.562,111.9,03372399999.csv
033730-99999,53.308,-0.551,61.6,03373099999.csv
033735-99999,53.574,-0.351,36.9,03373599999.csv
033770-99999,53.166,-0.524,70.4,03377099999.csv
033790-99999,53.03,-0.483,66.4,03379099999.csv
033840-99999,53.867,-0.433,6,03384099999.csv
033850-99999,53.467,0.067,8,03385099999.csv
033880-99999,53.45,-0.2,108,03388099999.csv
